소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보(x),좌표정보(y)
544-2342,충청북도 보은군 보은읍 삼산리 40-4,충청북도 보은군 보은읍 보은로 90-1,28950,서울동물병원,264338.482132623,331500.072752239
,경기도 김포시 양촌읍 양곡리 412번지,,,양곡동물병원,,
2657-7119,서울특별시 강서구 등촌동 824번지 9통1반,"서울특별시 강서구 양천로 574 (등촌동, 축협)",07551,서울축산농협동물병원,,
446-9984,서울특별시 광진구 구의동 233-27번지,,,성동가축병원,207699.937944795,449164.758879546
7323827,서울특별시 종로구 효자동 31번지,서울특별시 종로구 자하문로 66-2 (효자동),03042,효자동물병원,197364.614476836,453303.293915738
732-3827,서울특별시 종로구 효자동 31번지,서울특별시 종로구 자하문로 66-2 (효자동),03042,효자동물병원,197364.614476836,453303.293915738
732-3827,서울특별시 종로구 효자동 31번지,서울특별시 종로구 자하문로 66-2 (효자동),03042,효자동물병원,197364.614476836,453303.293915738
732-3827,서울특별시 종로구 효자동 31번지,서울특별시 종로구 자하문로 66-2 (효자동),03042,효자동물병원,197364.614476836,453303.293915738
051-862-1188,부산광역시 연제구 거제동 574-21번지,부산광역시 연제구 거제시장로 18-6 (거제동),47544,솔로몬동물병원,388659.192134853,188856.493417152
,경상북도 문경시 문경읍 하리,,,문경가축병원,,
064-741-6724,제주특별자치도 제주시 애월읍 광령리 604-1번지,제주특별자치도 제주시 애월읍 산록서로 678-207,63064,제주한라대학교 부설동물병원,148326.956578318,-11061.0332970028
,대구광역시 동구 신암동 149-11번지,대구광역시 동구 아양로 153 (신암동),,미래동물병원,347108.771944212,266294.753113763
,대구광역시 동구 신천동 399-13번지,대구광역시 동구 효신로 55 (신천동),,효목동물병원,347361.681358391,265270.046083897
984-1273,대구광역시 동구 불로동 460-23번지,대구광역시 동구 팔공로 142 (불로동),,아양동물병원,348068.894437616,269153.072598976
,충청남도 공주시 신관동 534-2번지 449-74,충청남도 공주시 신덕마을길 5 (신관동),32529,천안공주낙협,210763.613535739,330491.319889902
,경기도 용인시 수지구 성복동 276-1번지,"경기도 용인시 수지구 성복1로 106, 107호 (성복동)",16853,해비치동물병원,205973.446381175,423887.105552504
772-2246,경기도 양평군 양평읍 대흥리 553-1번지,경기도 양평군 양평읍 대흥로 106-31,12564,협성동물병원,247666.563321251,442602.110459968
031-898-3708,경기도 용인시 기흥구 보정동 1277번지,경기도 용인시 기흥구 보정로 32 (보정동),16903,보정동물병원,209787.252955929,423563.214492078
031-758-8878,경기도 성남시 수정구 오야동 249-1번지,"경기도 성남시 수정구 오야남로12번길 12-2, 1층 (오야동)",13100,어강동물병원,209273.983016274,439137.340043622
813-8215,경상북도 경산시 중방동 863-18번지,경상북도 경산시 경안로 192 (중방동),38619,왕동물병원,,
,경상북도 경산시 압량읍 부적리 108-7,경상북도 경산시 압량읍 부적길 86,38507,경상가축병원,359203.231176714,262167.130731314
,경상북도 영천시 화룡동 201번지,경상북도 영천시 장수로 10 (화룡동),,영천수의과병원,373391.412776679,275445.433956639
,인천광역시 남동구 간석동 914번지,인천광역시 남동구 백범로273번길 1 (간석동),,도그인동물병원,175079.31565792,439941.279666936
032)441-5155,인천광역시 남동구 간석동 900-138번지 1호내,"인천광역시 남동구 구월로 41 (간석동,1호내)",,위드동물병원,172932.148310502,439548.810415616
032-863-7582,인천광역시 미추홀구 주안동 1462-12번지,인천광역시 미추홀구 인하로 271-3 (주안동),22215,닥터파파동물병원,171473.7795,438509.9065
863-7582,인천광역시 미추홀구 주안동 1462-12번지,,,신기동물병원,171473.7795,438509.9065
,,인천광역시 미추홀구 인하로 271-3 (주안동),22215,닥터파파 구,171473.7795,438509.9065
643-3601,전라북도 임실군 임실읍 이도리 182-4번지,전라북도 임실군 임실읍 운수로 6,55926,임실축협 동물병원,225492.528496952,235159.748333614
,전라북도 임실군 오수면 오수리 390-18번지 오수동물병원,"전라북도 임실군 오수면 오수로 182, 오수동물병원",55951,오수동물병원,229526.617002344,226789.103744738
063-445-3909,전라북도 군산시 중앙로3가 33-1번지,전라북도 군산시 중앙로 80 (중앙로3가),,시민동물병원,174576.596839392,275685.453576855
063-445-6435,전라북도 군산시 신영동 65번지,,,군산동물병원,,
774-9975,경상북도 경주시 천북면 신당리 1126-3,경상북도 경주시 천북면 산업로 4694-4,38041,가나동물병원,402128.389904945,268450.675818284
,경상북도 상주시 낙동면 낙동리 734-1번지,경상북도 상주시 낙동면 영남제일로 107,37251,북부동물병원,316378.437181862,318993.939537046
,충청남도 아산시 인주면 문방리 70,"충청남도 아산시 인주면 현대로 1115-7, 정다운하우스 101호",31436,썬 애니멀 호스피탈,189314.303724353,372432.770540685
,경상북도 영덕군 영덕읍 남석리 455-5번지,,,동해가축병원,,
,,경상북도 청도군 청도읍 고수산복길 13-1,38344,현 동물병원,357283.942462726,239859.407996458
,경상북도 고령군 개진면 옥산리 497번지,경상북도 고령군 개진면 옥산길 46-3,40149,황제동물병원,325543.968959952,246050.779939147
,전라남도 강진군 강진읍 남성리 511번지,전라남도 강진군 강진읍 영랑로3길 35-1,59232,현대동물병원,178991.73423857,126864.250184902
434-2385,전라남도 강진군 강진읍 동성리 188번지,전라남도 강진군 강진읍 동성로 23-1,59231,강진동물병원,179198.096429088,126956.567746669
,전라남도 강진군 강진읍 동성리 1841번지,전라남도 강진군 강진읍 보은로4길 6,59231,사거리가축병원,179193.027435033,126734.025814547
,전라남도 강진군 강진읍 남성리 5-6번지,전라남도 강진군 강진읍 영랑로 30,59233,협동동물병원,178719.491496305,126705.143213865
637-7589,대전광역시 동구 자양동 66-24번지,대전광역시 동구 동대전로 162 (자양동),,비래동물병원,240095.698397929,315128.696529323
632-3114,대전광역시 동구 용전동 26-34번지,,,가람동물병원,238730.193065773,317576.378718762
295-0079,경기도 수원시 권선구 호매실동 82-3,경기도 수원시 권선구 매실로69번길 18 (호매실동),,칠보 동물병원,196202.455173852,418609.316536235
504-9189,부산광역시 동래구 온천동 1250-21번지,부산광역시 동래구 아시아드대로 213 (온천동),,사직동물병원,388087.222860839,191298.105850637
356-0088,경상남도 밀양시 단장면 안법리 169-2번지,경상남도 밀양시 단장면 안법1길 65,50416,금곡동물병원,368325.190912362,222431.85356415
023727288,서울특별시 마포구 중동 64-23,"서울특별시 마포구 월드컵북로38길 14, 4층 (중동)",03941,성산연세약국,191427.097563261,452028.237293526
,경기도 가평군 청평면 청평리 438-23번지,,,경기동물병원,236594.523885646,470455.677127581
351-3393,경기도 화성시 우정읍 조암리 350-11,경기도 화성시 우정읍 조암남로 22,18567,우 동물병원,183748.330583072,397939.898943234
031-613-3872,경기도 화성시 능동 1152-4 엘리트타워 102호,,,늘푸른 동물병원,204918.523736941,410831.082178908
0313526633,경기도 화성시 향남읍 행정리 417-14,경기도 화성시 향남읍 행정서로2길 28-37,18598,신동물메디컬센터,192385.113193727,403270.810469246
,서울특별시 마포구 서교동 5-2번지,"서울특별시 마포구 월드컵로 98 (서교동, 서현빌딩)",03996,푸른숲 동물병원,191913.193127084,450573.671212346
3437-1673,서울특별시 광진구 자양동 219-18번지,,,Pet 동물병원,207116.537060087,448287.662138508
,충청북도 청주시 청원구 내수읍 구성리 251-24번지,충청북도 청주시 청원구 내수읍 충청대로 412,,펫타임동물병원,245611.516944631,354163.745602623
,경기도 남양주시 화도읍 창현리 491-4번지,,,명약원동물병원,226887.358967589,461172.949310339
848-6602,경기도 남양주시 별내면 청학리 443-8번지,,,청학동물병원,210250.681364408,467253.309451237
571-5505,경기도 남양주시 퇴계원면 퇴계원리 268-11번지,,,태양동물병원,212548.023423564,461146.256444482
,경기도 가평군 가평읍 대곡리 236-7번지,,,가평동물병원,245147.288587871,480533.900451766
582-4111,경기도 가평군 가평읍 대곡리 166-1번지,,,가평축산농협 동물병원,245272.399227679,480386.602337806
582-4111,경기도 가평군 가평읍 대곡리 166-1번지,,,가평축산농협 동물병원,245272.399227679,480386.602337806
,서울특별시 강남구 대치동 500번지 우성(아)상가101호,"서울특별시 강남구 남부순환로 2912 (대치동,우성(아)상가101호)",,펫프랜즈,204992.451561361,443183.576115254
732-3827,서울특별시 종로구 효자동 31번지,서울특별시 종로구 자하문로 66-2 (효자동),03042,효자동물병원,197364.614476836,453303.293915738
379-7575,서울특별시 종로구 신영동 249-6번지,서울특별시 종로구 진흥로 473 (신영동),03007,월드펫동물병원,196444.558512343,455996.128787691
571-9114,광주광역시 북구 일곡동 843-5번지,광주광역시 북구 양일로305번길 8 (일곡동),61040,일곡동물병원,190562.90915523,189333.017062573
,광주광역시 북구 임동 5-16번지,광주광역시 북구 태봉로 37-6 (임동),61244,우리동물병원,191120.420030082,184715.866146267
062-574-7975,광주광역시 북구 양산동 254-123,"광주광역시 북구 하서로 371, 1층 (양산동)",61074,참좋은 동물병원,188403.348228308,189881.785372941
062) 419-7582,광주광역시 북구 우산동 609-3,광주광역시 북구 중문로 74 (우산동),61172,빛고을 동물의료센터,192695.384201878,186661.031012696
062-571-0011,광주광역시 북구 매곡동 370-7번지,광주광역시 북구 하백로5번길 1 (매곡동),61066,24시 언제나 동물병원,189946.298989424,187637.918779516
526-3575,광주광역시 북구 신안동 479-36,광주광역시 북구 서암대로 167 (신안동),,유동물병원,191045.144889158,185577.195626422
062-576-7585,광주광역시 북구 삼각동 780-1,광주광역시 북구 설죽로471번길 101-102 (삼각동),61057,이든동물병원,190722.965198995,189129.940908646
062-574-8276,광주광역시 북구 지야동 803-11,"광주광역시 북구 하서로 652-15, 2층 (지야동)",61027,소담동물병원(출장전문),189626.394634675,192397.102104168
062-571-2808,광주광역시 북구 본촌동 378-6 동물보호소,"광주광역시 북구 본촌마을길 27, 동물보호소 (본촌동)",61027,광주동물보호소 부속동물병원,189132.523692258,191478.416598073
053-950-6898,대구광역시 북구 산격동 1370-1 경북대학교 수의과대학,"대구광역시 북구 대학로 80 (산격동, 경북대학교 수의과대학)",41566,경북대학교 수의과대학 부속동물병원,345299.742438478,266806.443246079
053-384-9907,대구광역시 북구 검단동 700-2,대구광역시 북구 검단북로 154 (검단동),,대구축협동물병원,346441.127461002,269593.325617981
325-7579,대구광역시 북구 관음동 1383-14,대구광역시 북구 칠곡중앙대로 483 (관음동),,강동물병원,339729.128895019,272059.640304561
053-312-7975,대구광역시 북구 태전동 1113,대구광역시 북구 칠곡중앙대로 189 (태전동),41471,다온동물병원,339665.680653785,269186.642482205
053-352-1998,대구광역시 북구 칠성동2가 2-2,"대구광역시 북구 침산로21길 23 (칠성동2가, 침산1차푸르지오)",41593,신한동물병원,343318.955676373,266167.784875118
322-0041,대구광역시 북구 읍내동 781-1,대구광역시 북구 칠곡중앙대로 531 (읍내동),41442,동명동물병원,339825.695582098,272538.877151776
324-0116,대구광역시 북구 동천동 932-4,대구광역시 북구 대천로 72-1 (동천동),,굿모닝동물병원,340446.127644863,271863.435834217
954-3395,대구광역시 북구 산격동 1216-4,대구광역시 북구 산격로 109 (산격동),,가나동물병원,345123.958864308,267760.090893224
053-322-9075,대구광역시 북구 관음동 1386-7,대구광역시 북구 칠곡중앙대로 471 (관음동),,늘푸른종합동물병원,339699.929254866,271940.297572072
053-314-0075,대구광역시 북구 동천동 668-1 13통5반 칠곡홈플러스 301호,"대구광역시 북구 동암로12길 8, 2층 (동천동, 칠곡홈플러스)",41422,도그플러스 동물병원(미유펫 대구점),340320.722709596,272735.675659876
053-326-2557,대구광역시 북구 태전동 1195,"대구광역시 북구 학정로 149, 한우리메디타워 2층 204호 (태전동)",41467,순풍동물병원,339911.359278349,270114.910523775
02-831-0075,서울특별시 영등포구 신길동 324-49 영민빌딩 1층,"서울특별시 영등포구 가마산로 449-1, 영민빌딩 1층 (신길동)",07383,다움동물병원,191647.162754919,444844.764072362
,경상남도 창녕군 남지읍 남지리 534-11 2통2반,경상남도 창녕군 남지읍 동포로 9,50358,남지가축병원,334530.70641208,211069.241754842
055-533-8292,경상남도 창녕군 창녕읍 하리 421-1,경상남도 창녕군 창녕읍 갈전길 153,,창녕축협동물병원,334432.457604049,230335.725001443
,경상남도 창녕군 영산면 동리 134-26,경상남도 창녕군 영산면 원다리길 45-2,50345,미래동물병원,338740.128062791,218198.715618535
055-532-0636,경상남도 창녕군 창녕읍 말흘리 747-11번지,경상남도 창녕군 창녕읍 창녕대로 153-1,50333,광진동물병원,336046.181171585,226930.040261149
055-521-0438,경상남도 창녕군 영산면 서리 216-9번지,경상남도 창녕군 영산면 영산장마로 745,50342,김수의과병원&lt;산업동물출장진료전문병원&gt;,338401.203068703,218611.011645169
,경상남도 창녕군 창녕읍 술정리 294-7,경상남도 창녕군 창녕읍 창녕대로 54,,남창가축병원,335335.098706901,227610.634883205
055-6737194,경상남도 고성군 고성읍 송학리 416-58번지,경상남도 고성군 고성읍 송학고분로 317,52931,미소종합동물병원,320884.073318409,165545.961399078
055-673-8875,경상남도 고성군 고성읍 수남리 542-31번지,경상남도 고성군 고성읍 남포로 75-3,52935,서울동물병원,320498.758664682,164233.977840531
055-963-4569,경상남도 함양군 함양읍 교산리 189-1번지 6통2반,경상남도 함양군 함양읍 함양로 1182-1,50033,현대동물병원(출장진료전문병원),266044.618730362,225182.728526565
,경상남도 함양군 안의면 금천리 115-5번지,경상남도 함양군 안의면 종로길 11-6,50011,이수의과동물병원,273607.519960715,236772.16260145
,경상남도 함양군 함양읍 교산리 396-1번지,경상남도 함양군 함양읍 함양로 1271,50031,진동물병원,266485.757760103,225915.628491123
055-964-0095,경상남도 함양군 함양읍 용평리 646-2번지,경상남도 함양군 함양읍 중앙시장길 17 (신성가축병원),50046,신성가축병원,266159.273175624,224480.746054629
,경상남도 함양군 함양읍 백연리 340,경상남도 함양군 함양읍 돌북1길 27,50044,형제동물병원,265394.124293573,224340.563536044
0559638875,경상남도 함양군 함양읍 용평리 628-7번지 105호,"경상남도 함양군 함양읍 용평중앙길 43, 1층 105호",50039,함양동물병원,266266.293977497,224642.317049675
,충청남도 예산군 예산읍 주교리 225-1 2통우영연립 A동 203호,충청남도 예산군 예산읍 예산로 31,32431,새마을동물병원,184736.659480049,353839.485467753
,충청남도 예산군 덕산면 읍내리 234-12번지 2통,충청남도 예산군 덕산면 예덕로 8,32406,김태오 동물병원,170392.049710946,355985.508381678
,충청남도 예산군 예산읍 예산리 182,충청남도 예산군 예산읍 아리랑로 236,32434,흙 동물병원,186713.062980711,353319.476306572
,충청남도 예산군 고덕면 대천리 663번지 1통삼미아파트 B동 603호,충청남도 예산군 고덕면 고덕중앙로 86,32403,중앙 동물병원,173351.381063005,360641.374513028
,충청남도 예산군 예산읍 주교리 240-5번지 1통,충청남도 예산군 예산읍 역전로 51,32431,예산 동물병원,184653.012349637,353622.006926567
,충청남도 예산군 삽교읍 송산리 73-5번지,충청남도 예산군 삽교읍 충의로 170,340-901,한솔가축병원,171951.155129104,354892.364248828
,충청남도 예산군 예산읍 예산리 880번지 한양아파트 30동 1103호,충청남도 예산군 예산읍 사직로 24,32435,협동동물병원,186386.227172656,353383.21549233
,충청남도 예산군 광시면 광시리 657-2번지 104호,충청남도 예산군 광시면 예당로 190 (104호),,강이동물병원,179870.31156633,338956.694407965
556-8207,충청남도 천안시 동남구 청당동 511,충청남도 천안시 동남구 청수11로 12 (청당동),31198,천안축산업협동조합 부설동물병원,213642.15094531,364583.496437967
571-9318,충청남도 천안시 서북구 쌍용동 1169번지,충청남도 천안시 서북구 쌍용대로 51 (쌍용동),31155,우리동물병원,211655.18279704,366747.864617535
567-4723,충청남도 천안시 동남구 원성동 587-10,충청남도 천안시 동남구 충무로 475 (원성동),31186,장원동물병원(출장진료전문 동물병원),214028.68879481,366400.06831338
582-9600,충청남도 천안시 서북구 성환읍 매주리 330-1,충청남도 천안시 서북구 성환읍 매주4길 20,31011,하나동물병원,211329.870230673,378909.790439825
041-568-7277,충청남도 천안시 동남구 성황동 10-16번지,충청남도 천안시 동남구 대흥로 320 (성황동),,그림동물병원,213381.423935584,368329.02977775
523-0275,충청남도 천안시 동남구 신부동 816번지 대흥빌딩,충청남도 천안시 동남구 터미널2로 8 (신부동),31119,에니펫동물병원,214070.522552721,368702.732111359
568-7533,충청남도 천안시 서북구 두정동 1263번지 주차빌딩101,"충청남도 천안시 서북구 두정로 203 (두정동,주차빌딩101)",,펫프렌즈동물병원,212382.919951988,370290.628300577
572-8275,충청남도 천안시 서북구 쌍용동 1544-1번지 쌍용메디칼,"충청남도 천안시 서북구 월봉로 85, 쌍용메디칼 (쌍용동)",31171,김수영 동물병원,210450.43,366337.75
334-1666,충청남도 예산군 예산읍 대회리 1 공주대학교 산업과학대학 내,충청남도 예산군 예산읍 대학로 54 (공주대학교 산업과학대학 내),,충남야생동물구조센터,187383.602121852,352103.771790889
335-1023,충청남도 예산군 예산읍 산성리,충청남도 예산군 예산읍 벚꽃로 153,32428,KU건국동물병원,185301.469419303,354781.845474613
,충청남도 예산군 삽교읍 신리 316-46,충청남도 예산군 삽교읍 신촌길 11-12,32416,마일스톤피그클리닉(출장진료전문),170788.203005645,352895.432472389
041-557-8575,충청남도 천안시 동남구 신부동 319-37번지,충청남도 천안시 동남구 중앙로 281-2 (신부동),31117,고려동물병원,213530.061339568,369125.204750889
,충청남도 천안시 동남구 청수동 262번지 청솔LG아파트 상가 지하1층 2호,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트 상가 지하1층 2호)",31194,서현동물병원,213872.417300616,365554.802977612
544-8834,충청남도 천안시 동남구 청수동 261번지 청솔LG아파트 상가 지하1층1호,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트 상가 지하1층1호)",31194,다산동물병원,214004.633718891,365624.342814672
553-5534,충청남도 천안시 동남구 청당동 153-15,"충청남도 천안시 동남구 남부대로 344, 1층 (청당동)",31211,가온동물병원,213772.191661753,364402.131074942
564-0075,충청남도 천안시 동남구 신부동 388-5번지 천광빌딩,"충청남도 천안시 동남구 대흥로 339, 천광빌딩 (신부동)",31121,열린동물병원,213447.918343937,368527.358598026
041-551-5659,충청남도 천안시 동남구 삼룡동 146-28,충청남도 천안시 동남구 충절로 437 (삼룡동),31070,서일동물병원,215243.055101315,364669.569767338
041-565-5297,충청남도 천안시 동남구 신방동 263-3번지,충청남도 천안시 동남구 풍세로 614 (신방동),,유일동물병원(산업동물에 대한 출장진료를 전문으로 함.),211746.437152505,362966.620698594
,충청남도 천안시 서북구 성환읍 성환리 449-342번지,충청남도 천안시 서북구 성환읍 성환1로 275,,태성동물병원,211285.207758342,379760.924590814
578-4575,충청남도 천안시 동남구 신방동 1536번지,충청남도 천안시 동남구 통정10로 33-10 (신방동),31208,나음동물병원,211727.719162622,363608.439391236
579-8252,충청남도 천안시 동남구 신방동 49-14번지 이화빌딩,"충청남도 천안시 동남구 수곡2길 8-3, 이화빌딩 (신방동)",31176,다솜동물병원,211392.415594479,365298.790803978
041-900-7582,충청남도 천안시 동남구 봉명동 32-1,"충청남도 천안시 동남구 봉정로 6, 2층 (봉명동)",31153,치유동물병원,212375.366637358,366828.810980111
,충청남도 천안시 동남구 수신면 속창리 134-6번지,충청남도 천안시 동남구 수신면 수신로 455,31251,다나동물병원(산업동물에 대한 출장진료를 전문으로 함.),225242.773576582,359023.210523485
041-557-8275,충청남도 천안시 동남구 신부동 88-3,충청남도 천안시 동남구 충절로 35 (신부동),31125,서울88동물의료원,214080.030181276,368281.359675595
,충청남도 천안시 서북구 성정동 434-9,충청남도 천안시 서북구 쌍용대로 317 (성정동),,늘푸른동물병원두정의료센터,212153.422333333,369320.517666666
041-555-7575,충청남도 천안시 동남구 원성동 601-1번지,충청남도 천안시 동남구 원거리7길 2 (원성동),,중앙동물병원,213653.092667763,366407.451735529
041-551-5989,충청남도 천안시 동남구 영성동 67-3번지 18통3반,충청남도 천안시 동남구 대흥로 94-1 (영성동),31131,녹십자,213488.872629456,366449.863979136
581-4414,충청남도 천안시 서북구 성환읍 매주리 435-1,충청남도 천안시 서북구 성환읍 성환1로 116,31019,천안공주낙농축산업협동조합부설동물병원,211460.370221425,378146.86091541
570-1378,충청남도 천안시 동남구 다가동 373-3,충청남도 천안시 동남구 차돌로 50 (다가동),,대전충남 양돈축산업협동조합 부설동물병원,212078.5592182,366602.949485153
,충청남도 천안시 서북구 불당동 1220 1층호,"충청남도 천안시 서북구 불당7길 25, 1층 (불당동)",31164,동물병원닥터스,209927.046766103,366866.621786284
043-643-3037,충청북도 제천시 명동 11-9번지,충청북도 제천시 의병대로 55-3 (명동),27169,한일동물병원,307181.499642671,404632.4358758
645-8272,충청북도 제천시 하소동 165-59번지,충청북도 제천시 원뜰로 34 (하소동),27187,명진동물병원,306117.858673583,404161.037828927
043-652-7582,충청북도 제천시 장락동 635-27,"충청북도 제천시 죽하로 5, 1층 (장락동)",27148,제천 그레이스 동물병원,308529.845218373,406307.40899694
,충청북도 음성군 삼성면 덕정리 525-19,충청북도 음성군 삼성면 대성로 613,27652,삼성가축병원,244274.766592437,390864.40854427
043-872-2262,충청북도 음성군 음성읍 읍내리 549-12 6통3반,충청북도 음성군 음성읍 중앙로 142,27695,음성동물병원,261397.660250307,381890.968920522
,충청북도 음성군 금왕읍 금석리 275-10,충청북도 음성군 금왕읍 대금로 1498,,금왕동물병원,253207.84735925,387675.413456986
872-7747,충청북도 음성군 음성읍 읍내리 398-7번지,충청북도 음성군 음성읍 중앙로40번길 24,27706,남영가축병원 (출장진료전문병원),261590.575845465,380889.085037882
,충청북도 음성군 금왕읍 무극리 551-25,,,현대동물병원,252457.807637301,387478.178194801
043-535-6426,충청북도 음성군 대소면 대풍리 524-2,충청북도 음성군 대소면 대금로54번길 8,27671,반석가금진료연구소,240160.096378157,387198.303386997
,,"충청북도 음성군 대소면 대금로 822, A단지 나동 104호 (대왕하이텍공구타운A단지)",27663,전동물병원 (출장진료전문병원),246798.550681733,386315.266993863
0438837511,충청북도 음성군 대소면 태생리 519번지,충청북도 음성군 대소면 대금로 502,27666,대소동물병원,243886.201136134,385135.841513243
043-882-7975,충청북도 음성군 맹동면 동성리 501,"충청북도 음성군 맹동면 대하1길 4, 위너스타워 2층 205, 206호",27738,그린벨동물의료센터,248149.350262001,378611.411235257
873-9303,충청북도 음성군 음성읍 읍내리 314-9,충청북도 음성군 음성읍 시장로 99,,음성축산업협동조합 동물병원,261585.162604391,381860.580782234
043-647-6100,충청북도 제천시 중앙로2가 27-10번지 9통3반,충청북도 제천시 의림대로15길 24 (중앙로2가),27169,진주동물병원,307432.598620866,404885.91236429
2237-3366,서울특별시 중구 신당동 336-3 명덕빌딩,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",04608,바우미우동물병원,201064.963697104,450779.720971036
2278-0075,서울특별시 중구 묵정동 32-1,서울특별시 중구 퇴계로 254-1 (묵정동),04619,황동물병원,199930.85829926,451121.344849729
928-5599,서울특별시 성북구 보문동2가 49번지,서울특별시 성북구 보문로 137 (보문동2가),02871,서울종합동물병원,201537.597642195,453866.556999016
918-3344,서울특별시 성북구 장위동 8-2 석계역 한일노벨리아시티 210호,"서울특별시 성북구 화랑로 299, 2층 210호 (장위동, 석계역 한일노벨리아시티)",02779,대학동물병원,205326.144810215,456806.432445774
924-4555,서울특별시 성북구 종암동 19-1번지,서울특별시 성북구 종암로 65 (종암동),02810,강북동물병원,203035.963955756,454877.349574275
02-969-7582,서울특별시 은평구 응암동 194-23,서울특별시 은평구 백련산로 145 (응암동),03463,스머프동물병원,193315.117219499,455100.955115916
02-356-8353,서울특별시 은평구 불광동 554-1번지 1층,"서울특별시 은평구 불광로 60, 1층 (불광동)",03365,다루동물병원,193936.125681025,456673.805557751
02-388-0275,서울특별시 은평구 역촌동 51-22번지,서울특별시 은평구 역말로 7 (역촌동),03415,도담동물병원,192084.679813973,455936.970379394
386-6092,서울특별시 은평구 갈현동 498-3번지,서울특별시 은평구 서오릉로 192 (갈현동),03335,미래동물병원,192190.266278977,456830.528394439
382-3243,서울특별시 은평구 대조동 224-24번지,서울특별시 은평구 서오릉로 140 (대조동),03394,더독동물병원,192656.302129643,456562.163418874
02-2297-7582,서울특별시 성동구 행당동 322-100번지,서울특별시 성동구 행당로8길 41-2 (행당동),,오렌지동물병원,202931.789940848,450419.387012901
2256-7582,서울특별시 중구 신당동 373-64번지,서울특별시 중구 동호로 178 (신당동),04590,웰펫동물병원,200945.265627675,450226.825477041
02-582-2186,서울특별시 서초구 방배동 809-1,서울특별시 서초구 방배로34길 12 (방배동),06585,남서울동물병원,199192.151177187,443359.70601679
582-2357,서울특별시 서초구 서초동 1603-66,서울특별시 서초구 효령로57길 4 (서초동),06643,서초동물병원,201437.477919897,442585.481211577
522-0222,서울특별시 서초구 서초동 1534-2번지 명성빌딩,"서울특별시 서초구 반포대로 45, 1층 (서초동, 명성빌딩)",06671,아델 동물병원,200886.032544788,442481.68257248
581-5500,서울특별시 서초구 방배동 894-2 선빌딩 101호,"서울특별시 서초구 서초대로 124, 101호 (방배동, 선빌딩)",06661,동물제중원금손이 동물병원,199582.594994223,442879.1892594
02-585-0087,서울특별시 서초구 서초동 1486-2 삼양빌딩,"서울특별시 서초구 효령로 214, 삼양빌딩 2층 (서초동)",06709,다니엘동물병원,200612.401809114,442325.922331271
2693-8883,서울특별시 양천구 신월동 501-12,서울특별시 양천구 중앙로 295 (신월동),08028,우신동물병원,186794.842142997,446714.27578886
2642-9159,서울특별시 양천구 목동 657-16,서울특별시 양천구 등촌로 160 (목동),07951,강현림 종합동물병원,187774.076185179,449099.406847977
02-2651-9953,서울특별시 양천구 신정동 1020-17,서울특별시 양천구 은행정로 10 (신정동),08087,해성동물병원,187566.108462816,446497.584536285
